ID,Binomial,Replicate,Excluded_LPR_2022,Citation,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Migratory_fw_fish,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Eastern Cape,South Africa,South Africa,Africa,Africa,Southern Africa,-32,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2331,NULL,NULL,NULL,NULL,2132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Free State,South Africa,South Africa,Africa,Africa,Southern Africa,-29,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,835,NULL,NULL,NULL,NULL,828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Gauteng,South Africa,South Africa,Africa,Africa,Southern Africa,-26.08333,28.25,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,KwaZulu-Natal,South Africa,South Africa,Africa,Africa,Southern Africa,-29.61667,30.38333,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1522,NULL,NULL,NULL,NULL,1487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Mpumalanga,South Africa,South Africa,Africa,Africa,Southern Africa,-29.81667,30.61667,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,NW Province,South Africa,South Africa,Africa,Africa,Southern Africa,-26.5,26,0,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,772,NULL,NULL,NULL,NULL,384,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,348,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Northern Cape,South Africa,South Africa,Africa,Africa,Southern Africa,-29.5,22,0,Terrestrial,Afrotropical,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Northern Province,South Africa,South Africa,Africa,Africa,Southern Africa,-24,29.5,0,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1615,NULL,NULL,NULL,NULL,3649,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Gyps_coprotheres,0,0,"WWF-SA (2000). ""Cape griffon.""",Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,,"(Forster, 1798)",Cape vulture,Western Cape,South Africa,South Africa,Africa,Africa,Southern Africa,-34,20,0,Terrestrial,Afrotropical,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Alcelaphus_caama,0,0," IUCN/SSC Antelope Specialist Group, Ed. (1989). Antelopes: Global Survey and Regional Action Plans: Part 2.Southern and South-central Africa. Antelopes: Global Survey and Regional Action Plans,, IUCN.",Mammalia,Artiodactyla,Bovidae,Alcelaphus,caama,NULL,"?Ù. Geoffroy Saint-Hilaire, 1803",Red hartebeest,Orange Free State,South Africa,South Africa,Africa,Africa,Southern Africa,-29,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
