Realm,Taxon,Species,Frequency,CumulativeLambda
Freshwater,Amphibians,Pyxicephalus_adspersus,7,-0.539269161
Freshwater,Birds,Anas_undulata,2,0.272814439
Freshwater,Birds,Calidris_ferruginea,6,0.069665387
Freshwater,Birds,Calidris_minuta,6,0.306649254
Freshwater,Birds,Ephippiorhynchus_senegalensis,7,0.291045775
Freshwater,Birds,Fulica_cristata,2,0.078313124
Freshwater,Birds,Larus_cirrocephalus,29,2.087021174
Freshwater,Birds,Larus_hartlaubii,2,-0.428493707
Freshwater,Birds,Phalacrocorax_carbo,91,-0.153215435
Freshwater,Birds,Podiceps_cristatus,2,-0.075720714
Freshwater,Birds,Recurvirostra_avosetta,2,0.657887419
Freshwater,Fish,Acanthopagrus_berda,33,0.250392758
Freshwater,Fish,Awaous_aeneofuscus,2,-0.477121255
Freshwater,Fish,Chelon_dumerili,4,-0.654427667
Freshwater,Fish,Chelon_richardsonii,4,0.49006089
Freshwater,Fish,Chelon_tricuspidens,4,-0.34398731
Freshwater,Fish,Clarias_gariepinus,2,-0.22184875
Freshwater,Fish,Cyprinus_carpio,2,-2.004321374
Freshwater,Fish,Elops_machnata,14,0.025247134
Freshwater,Fish,Galaxias_zebratus,6,0.206930437
Freshwater,Fish,Galeichthys_feliceps,2,0.963787827
Freshwater,Fish,Glossogobius_callidus,4,1.667781042
Freshwater,Fish,Glossogobius_giuris,2,-0.301029996
Freshwater,Fish,Labeo_umbratus,2,-2.004321374
Freshwater,Fish,Lichia_amia,2,0.615224461
Freshwater,Fish,Lithognathus_lithognathus,4,0.449727851
Freshwater,Fish,Monodactylus_argenteus,4,-1.292256071
Freshwater,Fish,Monodactylus_falciformis,4,0.096889262
Freshwater,Fish,Mugil_cephalus,15,0.17012425
Freshwater,Fish,Oreochromis_mossambicus,20,2.495092016
Freshwater,Fish,Poecilia_reticulata,2,0.544068044
Freshwater,Fish,Pomadasys_commersonnii,2,-0.084320886
Freshwater,Fish,Pseudocrenilabrus_philander,3,9.44E-16
Freshwater,Fish,Pseudomyxus_capensis,38,-0.388129629
Freshwater,Fish,Rhabdosargus_holubi,4,-0.399827892
Freshwater,Fish,Sedercypris_erubescens,9,-0.762594309
Freshwater,Reptiles,Crocodylus_niloticus,34,-0.238037999
Marine,Birds,Aptenodytes_patagonicus,2,-0.054512391
Marine,Birds,Calidris_alba,27,0.016270873
Marine,Birds,Calidris_canutus,27,-1.004579098
Marine,Birds,Calidris_ferruginea,25,-0.111723733
Marine,Birds,Diomedea_exulans,13,0.044979795
Marine,Birds,Eudyptes_chrysocome,51,-0.523929975
Marine,Birds,Eudyptes_chrysolophus,129,-0.273275643
Marine,Birds,Haematopus_moquini,6,0.061648819
Marine,Birds,Hydroprogne_caspia,31,-0.526922636
Marine,Birds,Larus_dominicanus,56,0.618729013
Marine,Birds,Limosa_lapponica,27,0.543513582
Marine,Birds,Macronectes_giganteus,12,-0.243038049
Marine,Birds,Macronectes_halli,11,-0.00796893
Marine,Birds,Microcarbo_coronatus,3,-0.23485255
Marine,Birds,Morus_capensis,52,-0.114643596
Marine,Birds,Numenius_phaeopus,33,-0.141090051
Marine,Birds,Pelecanus_onocrotalus,4,0.812590149
Marine,Birds,Phalacrocorax_capensis,189,-0.940083704
Marine,Birds,Phalacrocorax_neglectus,6,-0.41030787
Marine,Birds,Phoebetria_fusca,17,0.048516691
Marine,Birds,Pluvialis_squatarola,33,-0.287595362
Marine,Birds,Procellaria_aequinoctialis,4,-0.121733597
Marine,Birds,Pygoscelis_papua,15,-0.1381474
Marine,Birds,Spheniscus_demersus,391,-0.83532106
Marine,Birds,Sternula_balaenarum,3,-0.829303773
Marine,Birds,Thalassarche_carteri,2,0.031304757
Marine,Birds,Thalassarche_chrysostoma,22,0.202234849
Marine,Birds,Thalasseus_bergii,23,0.689506632
Marine,Fish,Acanthistius_sebastoides,8,0.373482544
Marine,Fish,Acroteriobatus_annulatus,10,-0.301034598
Marine,Fish,Alopias_vulpinus,9,-1.069990453
Marine,Fish,Ambassis_ambassis,10,-0.063770419
Marine,Fish,Amblyrhynchote_honckenii,16,0.754235259
Marine,Fish,Argyrosomus_japonicus,37,1.074468527
Marine,Fish,Argyrosomus_thorpei,16,0.093004179
Marine,Fish,Arothron_immaculatus,4,-0.880813592
Marine,Fish,Atherina_breviceps,14,0.018221259
Marine,Fish,Boopsoidea_inornata,8,0.182565668
Marine,Fish,Caranx_heberi,2,-0.698970004
Marine,Fish,Caranx_ignobilis,2,1
Marine,Fish,Caranx_sexfasciatus,11,1.540799243
Marine,Fish,Carcharhinus_amboinensis,26,0.18335705
Marine,Fish,Carcharhinus_brachyurus,34,2.319844079
Marine,Fish,Carcharhinus_brevipinna,26,-0.390438042
Marine,Fish,Carcharhinus_leucas,59,-0.12129629
Marine,Fish,Carcharhinus_limbatus,59,-0.483802228
Marine,Fish,Carcharhinus_obscurus,26,-0.090736018
Marine,Fish,Carcharhinus_plumbeus,26,-0.389496134
Marine,Fish,Carcharias_taurus,59,-0.508674964
Marine,Fish,Carcharodon_carcharias,126,-0.211153641
Marine,Fish,Chanos_chanos,2,-2.004321374
Marine,Fish,Cheilodactylus_fasciatus,8,-0.740284421
Marine,Fish,Cheilodactylus_pixi,8,2.16178279
Marine,Fish,Cheimerius_nufar,8,1.863451556
Marine,Fish,Chelon_dumerili,35,0.045680659
Marine,Fish,Chelon_richardsonii,33,0.077026328
Marine,Fish,Chelon_tricuspidens,19,2.386347465
Marine,Fish,Chirodactylus_brachydactylus,8,0.968989825
Marine,Fish,Chrysoblephus_laticeps,8,0.050245209
Marine,Fish,Chrysoblephus_puniceus,28,0.084755851
Marine,Fish,Clinus_superciliosus,5,0.808533879
Marine,Fish,Crenimugil_buchanani,4,0.795880017
Marine,Fish,Crenimugil_seheli,4,-1.503134687
Marine,Fish,Croilia_mossambica,3,0.511883361
Marine,Fish,Cymatoceps_nasutus,20,0.498984011
Marine,Fish,Dichistius_capensis,8,-0.383587893
Marine,Fish,Dichistius_multifasciatus,8,2.43464199
Marine,Fish,Diplodus_capensis,29,-2.902239695
Marine,Fish,Diplodus_cervinus,2,-2.004321374
Marine,Fish,Diplodus_hottentotus,8,0.141017666
Marine,Fish,Dissostichus_eleginoides,56,-0.236630473
Marine,Fish,Elops_machnata,4,0.377460705
Marine,Fish,Engraulis_capensis,29,0.07099957
Marine,Fish,Engraulis_encrasicolus,77,0.025410413
Marine,Fish,Epinephelus_marginatus,20,-1.033493787
Marine,Fish,Galeichthys_ater,8,0.770040258
Marine,Fish,Galeichthys_feliceps,21,0.501481688
Marine,Fish,Galeocerdo_cuvier,26,0.353827746
Marine,Fish,Genypterus_capensis,27,0.188180077
Marine,Fish,Gerres_longirostris,2,-0.961081934
Marine,Fish,Gerres_methueni,4,0.42975228
Marine,Fish,Gilchristella_aestuaria,22,0.254758563
Marine,Fish,Gymnocrotaphus_curvidens,8,0.090449953
Marine,Fish,Haploblepharus_edwardsii,8,0.444798035
Marine,Fish,Haploblepharus_fuscus,8,-2.383104314
Marine,Fish,Haploblepharus_pictus,8,2.092707423
Marine,Fish,Heteromycteris_capensis,16,0.474931018
Marine,Fish,Hilsa_kelee,8,0.634577185
Marine,Fish,Hippocampus_capensis,2,-0.752293497
Marine,Fish,Hyporhamphus_capensis,18,1.133873848
Marine,Fish,Isurus_oxyrinchus,41,0.562791621
Marine,Fish,Johnius_dorsalis,14,-0.138423247
Marine,Fish,Johnius_dussumieri,5,-0.881713997
Marine,Fish,Lamna_nasus,9,0.316898897
Marine,Fish,Leiognathus_equula,2,-0.096910013
Marine,Fish,Lichia_amia,24,-0.684619912
Marine,Fish,Lithognathus_lithognathus,20,-1.136821371
Marine,Fish,Lithognathus_mormyrus,8,-0.678119305
Marine,Fish,Lutjanus_argentimaculatus,16,-0.307370369
Marine,Fish,Lutjanus_fulviflamma,2,0
Marine,Fish,Lutjanus_rivulatus,4,0.213360639
Marine,Fish,Megalops_cyprinoides,5,-2.636344588
Marine,Fish,Merluccius_capensis,118,-0.165351192
Marine,Fish,Merluccius_paradoxus,66,-0.205585644
Marine,Fish,Monodactylus_falciformis,32,0.64601381
Marine,Fish,Moolgarda_cunnesius,15,0.245811609
Marine,Fish,Mugil_cephalus,26,-0.842676441
Marine,Fish,Mustelus_mustelus,8,-0.315271781
Marine,Fish,Myliobatis_aquila,12,-1.695241993
Marine,Fish,Neoscorpis_lithophilus,8,0.357980434
Marine,Fish,Omobranchus_woodi,5,-0.064457989
Marine,Fish,Osteomugil_robustus,11,1.045757126
Marine,Fish,Pachymetopon_aeneum,10,3.423110568
Marine,Fish,Pachymetopon_blochii,8,0.334053562
Marine,Fish,Pachymetopon_grande,8,0.021355361
Marine,Fish,Pegusa_nasuta,10,0.533678671
Marine,Fish,Petrus_rupestris,8,-1.344336942
Marine,Fish,Planiliza_alata,4,-0.433172385
Marine,Fish,Planiliza_macrolepis,15,0.365673684
Marine,Fish,Platycephalus_indicus,4,-0.110924375
Marine,Fish,Polysteganus_praeorbitalis,12,-0.05365985
Marine,Fish,Pomadasys_commersonnii,26,2.193871161
Marine,Fish,Pomadasys_olivaceus,19,1.131385918
Marine,Fish,Pomatomus_saltatrix,31,-0.833849399
Marine,Fish,Poroderma_africanum,8,0.108249629
Marine,Fish,Poroderma_pantherinum,8,0.022681942
Marine,Fish,Prionace_glauca,6,-0.181875003
Marine,Fish,Psammogobius_knysnaensis,19,-1.098784221
Marine,Fish,Pseudomyxus_capensis,8,-0.342142581
Marine,Fish,Pteroplatytrygon_violacea,9,0.626798475
Marine,Fish,Redigobius_dewaali,6,1.06069784
Marine,Fish,Rhabdosargus_globiceps,6,1.062375634
Marine,Fish,Rhabdosargus_holubi,45,-0.482528972
Marine,Fish,Rhabdosargus_sarba,19,0.374842612
Marine,Fish,Rhabdosargus_thorpei,3,-1.34507622
Marine,Fish,Sardinops_sagax,122,0.949172324
Marine,Fish,Sarpa_salpa,10,-2.105155134
Marine,Fish,Scomberoides_lysan,4,0.418071599
Marine,Fish,Scomberomorus_commerson,16,0.224973882
Marine,Fish,Scyliorhinus_capensis,8,-0.81019384
Marine,Fish,Silhouettea_sibayi,10,-0.334955209
Marine,Fish,Sillago_sihama,2,1
Marine,Fish,Solea_turbynei,9,-0.222771799
Marine,Fish,Sparodon_durbanensis,8,-0.277079157
Marine,Fish,Sphyrna_lewini,59,-0.722921887
Marine,Fish,Sphyrna_mokarran,26,-0.771695271
Marine,Fish,Sphyrna_zygaena,37,-0.05151993
Marine,Fish,Spondyliosoma_emarginatum,8,-0.762554339
Marine,Fish,Syngnathus_temminckii,9,0.334030256
Marine,Fish,Syngnathus_watermeyeri,10,-2.032078556
Marine,Fish,Terapon_jarbua,14,-0.033232025
Marine,Fish,Thryssa_vitrirostris,2,-2.004321374
Marine,Fish,Torpedo_fuscomaculata,2,2.004321374
Marine,Fish,Torpedo_marmorata,2,-2.004321374
Marine,Fish,Trachinotus_botla,4,0.066059569
Marine,Fish,Trachurus_capensis,88,0.240881689
Marine,Fish,Triakis_megalopterus,8,0.898066214
Marine,Mammals,Arctocephalus_pusillus,43,0.250547494
Marine,Mammals,Delphinus_capensis,19,-0.868042348
Marine,Mammals,Eubalaena_australis,30,0.856390145
Marine,Mammals,Megaptera_novaeangliae,19,1.196579555
Marine,Mammals,Mirounga_leonina,3,0.037440838
Marine,Mammals,Tursiops_aduncus,19,-0.612961262
Marine,Reptiles,Caretta_caretta,45,0.499180464
Marine,Reptiles,Dermochelys_coriacea,45,0.036110259
Terrestrial,Birds,Aquila_nipalensis,18,0.153550667
Terrestrial,Birds,Aquila_rapax,18,0.026834987
Terrestrial,Birds,Arenaria_interpres,27,-0.401290342
Terrestrial,Birds,Chionis_minor,8,0.216769062
Terrestrial,Birds,Circaetus_cinereus,18,2.326318176
Terrestrial,Birds,Circaetus_pectoralis,18,-0.363918363
Terrestrial,Birds,Elanus_caeruleus,18,0.084340629
Terrestrial,Birds,Falco_biarmicus,18,0.09034254
Terrestrial,Birds,Falco_rupicoloides,18,-0.17363516
Terrestrial,Birds,Falco_tinnunculus,18,-1.297380781
Terrestrial,Birds,Gyps_africanus,18,0.647834433
Terrestrial,Birds,Gyps_coprotheres,48,-0.396485221
Terrestrial,Birds,Melierax_canorus,18,-0.035731884
Terrestrial,Birds,Phalacrocorax_capensis,5,-1.84359908
Terrestrial,Birds,Poicephalus_robustus,9,0.243579091
Terrestrial,Birds,Polemaetus_bellicosus,18,0.112726827
Terrestrial,Birds,Polihierax_semitorquatus,18,-0.298318439
Terrestrial,Birds,Pterocles_namaqua,43,0.099620125
Terrestrial,Birds,Sagittarius_serpentarius,18,0.120848583
Terrestrial,Birds,Sterna_hirundo,5,0.531729303
Terrestrial,Birds,Terathopius_ecaudatus,18,-0.116090089
Terrestrial,Birds,Torgos_tracheliotos,18,-0.299953507
Terrestrial,Mammals,Aepyceros_melampus,64,0.010805133
Terrestrial,Mammals,Alcelaphus_caama,2,1.028028724
Terrestrial,Mammals,Antidorcas_marsupialis,2,0.318758763
Terrestrial,Mammals,Ceratotherium_simum,56,0.880715358
Terrestrial,Mammals,Connochaetes_gnou,5,0.912849824
Terrestrial,Mammals,Connochaetes_taurinus,86,-0.09513377
Terrestrial,Mammals,Crocuta_crocuta,6,1.297455535
Terrestrial,Mammals,Damaliscus_lunatus,27,-0.42256151
Terrestrial,Mammals,Damaliscus_pygargus,9,0.449924086
Terrestrial,Mammals,Diceros_bicornis,76,0.527099576
Terrestrial,Mammals,Equus_burchellii,68,0.138073304
Terrestrial,Mammals,Equus_zebra,61,0.898125646
Terrestrial,Mammals,Giraffa_camelopardalis,38,0.658820002
Terrestrial,Mammals,Hippotragus_equinus,38,-1.082557686
Terrestrial,Mammals,Hippotragus_niger,26,-0.322043422
Terrestrial,Mammals,Hyaena_brunnea,5,0.301029996
Terrestrial,Mammals,Kobus_ellipsiprymnus,49,-0.533824078
Terrestrial,Mammals,Leptailurus_serval,5,0.698970004
Terrestrial,Mammals,Loxodonta_africana,153,0.836048297
Terrestrial,Mammals,Lycaon_pictus,23,-0.136027384
Terrestrial,Mammals,Mastomys_coucha,2,0.03300026
Terrestrial,Mammals,Micaelamys_namaquensis,2,0.096910013
Terrestrial,Mammals,Mus_minutoides,2,-0.210853365
Terrestrial,Mammals,Myotomys_unisulcatus,2,0.397940009
Terrestrial,Mammals,Otomys_irroratus,2,0.352182518
Terrestrial,Mammals,Panthera_pardus,3,0.194086457
Terrestrial,Mammals,Phacochoerus_africanus,32,-0.040373691
Terrestrial,Mammals,Redunca_fulvorufula,2,0.086186148
Terrestrial,Mammals,Rhabdomys_dilectus,2,0.043465694
Terrestrial,Mammals,Saccostomus_campestris,2,1
Terrestrial,Mammals,Syncerus_caffer,62,0.021245827
